instance_id	batch_id	cmap_name	INN1	concentration (M)	duration (h)	cell2	array3	perturbation_scan_id	vehicle_scan_id4	scanner	vehicle	vendor	catalog_number	catalog_name
1	1	metformin	INN	0.00001	6	MCF7	HG-U133A	EC2003090503AA	EC2003090502AA	HP GeneArray Scanner	medium	Sigma-Aldrich	D5035	1,1-dimethylbiguanide hydrochloride
2	1	metformin	INN	0.00001	6	MCF7	HG-U133A	EC2003090504AA	EC2003090502AA	HP GeneArray Scanner	medium	Sigma-Aldrich	D5035	1,1-dimethylbiguanide hydrochloride
3	1	metformin	INN	0.0000001	6	MCF7	HG-U133A	EC2003090505AA	EC2003090502AA	HP GeneArray Scanner	medium	Sigma-Aldrich	D5035	1,1-dimethylbiguanide hydrochloride
4	1	metformin	INN	0.001	6	MCF7	HG-U133A	EC2003090506AA	EC2003090502AA	HP GeneArray Scanner	medium	Sigma-Aldrich	D5035	1,1-dimethylbiguanide hydrochloride
21	2	phenformin	INN	0.00001	6	MCF7	HG-U133A	EC2003091104AA	EC2003091102AA	HP GeneArray Scanner	medium	Sigma-Aldrich	P7045	phenformin hydrochloride
22	2	phenyl biguanide		0.00001	6	MCF7	HG-U133A	EC2003091105AA	EC2003091102AA	HP GeneArray Scanner	medium	Sigma-Aldrich	P19906	1-phenylbiguanide hydrochloride
23	2	valproic acid	INN	0.001	6	MCF7	HG-U133A	EC2003091106AA	EC2003091102AA	HP GeneArray Scanner	medium	Sigma-Aldrich	P4543	2-propylpentanoic acid
61	2a	metformin	INN	0.00001	6	MCF7	HG-U133A	EC2003091103AA	EC2003091102AA	HP GeneArray Scanner	medium	Sigma-Aldrich	D5035	1,1-dimethylbiguanide hydrochloride
121	5	estradiol	INN	0.00000001	6	MCF7	HG-U133A	EC2003092303AA	EC2003092302AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	E1024	estradiol, USP
122	5	alpha-estradiol		0.00000001	6	MCF7	HG-U133A	EC2003092304AA	EC2003092302AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	E8750	alpha-estradiol
123	5	dexamethasone	INN	0.000001	6	MCF7	HG-U133A	EC2003092305AA	EC2003092302AA	HP GeneArray Scanner	DMSO	Sigma-Aldrich	D4902	dexamethasone
